Phrases
red apple
yellow roses
green grass field
blue jeans
bright red balloon
pale yellow wall
dark green forest
light blue sky
red and yellow
blue and green
yellow sunrise glow
red velvet cake
green mossy stone
deep blue sea
yellow brick road
red roses bloom
green tea leaves
navy blue tie
lemon yellow light
bright red car
olive green shade
cobalt blue vase
sunflower yellow petals
ruby red gem
emerald green glass
powder blue wall
golden yellow corn
crimson red scarf
neon green sign
turquoise blue water
cherry red paint
grass green hills
sky blue crystal
yellow sunshine day
faded red barn
bluish gray tone
yellowed paper pages
barred prison door
greenish glow
bluest sky ever
reddened cheeks
greener pastures
yellowtail fish
spreading vines
blueprint drawing
shredded paper bin
greenhouse glass roof
red yellow mix
green blue parrot
blue yellow combo
yellow green bananas
red blue yellow
green red peppers
yellow neon sign
blue green ocean
red yellow stripe
green blue mural
bright yellow flower
red and blue
yellow stars shine
green apples crisp
bluebird perched
red yellow flag
green belt area
bluemoon rising
yellowknife winter sky
greenhorn rookie
barred steel gate
spreading wildfire
breadcrumb trail
redness of rash
reread old book
redeye flight
greenlight project
blueprint design
yellowed parchment
bluegrass music
redone living room
yellowcard issued
shredded fabric
predator bird
readiness training
greenback bills
yellowhammer bird call
bluestone pathway
redness at sunset
redeployed troops
greener garden
yellowish lamp glow
blueness of sky
red velvet drape
green bean soup
dark blue jacket
pastel yellow paint
rich red wine
bright green meadow
neon blue light
yellow morning sun
red alert warning
blue ocean waves
